"artist_name","track_name","spotify","youtube","youtube_mv","qqmusic","file","lrc_getlrc","lrc_zh"
"SOHN","Artifice",1,1,1,1,0,,
"SOHN","Bloodflows",1,1,0,1,1,,
"SOHN","Conrad",1,1,0,0,0,,
"SOHN","Red Lines",1,1,0,1,0,,
"Stalking Gia","Second Nature",1,1,1,1,0,,
"sToa","Broken Glass",1,1,0,1,0,,
"Su Lee","Winterland",1,1,0,1,0,,
"Su Na","Meridian (feat. L. Alexander)",0,1,0,1,0,,
"Sufjan Stevens","Fourth of July",1,1,0,1,1,,
"Susan H","Antidote",1,1,0,1,0,,
"Sworr.","Through Your Soul",1,1,0,1,0,,
"Sylo","Know You",1,1,0,1,0,,
"Sylo","Losing Myself",1,1,0,1,0,,
"Teddy Swims","Bad Dreams",1,1,0,1,0,,
"TENDER","Design",1,1,0,1,0,,
"TENDER","Illuminate",1,1,0,1,0,,
"TENDER","Melt",1,1,0,1,0,,
"TENDER","Violence",1,1,1,1,0,,
"Tep No","Me and My Guitar",1,1,1,1,0,,
"Tesla Boy","Compromise",1,1,1,1,0,,
"The Dø","Despair, Hangover & Ecstasy",1,1,1,1,0,,
"THE FAUMUIS","Didn't Stand a Chance - Live",1,1,0,1,0,,
"The Kiffness","Alugalug Cat",1,1,0,1,0,,
"The Kills","Doing It To Death",1,1,1,1,1,,
"The Marías","Baby One More Time",1,1,1,1,0,,
"The Marías","Little by Little",1,1,0,1,0,,
"Thunder Jackson","Led Astray",1,1,1,1,0,,
"Tim Besamusca","Wasteland - Radical Project Remix",1,1,0,1,0,,
"Tim Legend","Telescope (feat. Transviolet)",1,1,0,1,0,,
"Timbaland","Apologize (feat. OneRepublic)",1,1,1,1,0,,
"Tinashe","Watch Me Work",1,1,0,1,0,,
"Tomas Barfod","Pulsing (feat. Nina K)",1,1,1,1,0,,
"Tomboy Barfod","Pulsing (feat. Nina Kinert)",1,1,0,1,0,,
"Tommy Richman","MILLION DOLLAR BABY",1,1,1,1,0,,
"TommyMuzzic","Greedy x Say It Right",1,1,0,1,0,,
"TommyMuzzic","One Of The Girls x Streets",1,1,0,1,0,,
"Tone Stith","Smoking In The Park (Paradise)",1,1,0,1,0,,
"Tora","Similar",1,1,1,1,0,,
"Tose","The Hardest Thing",1,1,0,1,0,,
"Trent Dabbs","Set for Life",1,1,0,1,0,,
"Trevor Daniel","Bitter (feat. Trevor Daniel)",1,1,1,1,0,,
"Tuxedo","Toast 2 Us",1,1,1,1,0,,
"Two Feet","Her Life",1,1,0,1,0,,
"Two Feet","I Feel Like I'm Drowning",1,1,1,1,0,,
"Two Feet","Play The Part",1,1,1,1,1,,
"Two Feet","Tell Me The Truth",1,1,0,1,0,,
"Until The Ribbon Breaks","Orca",1,1,1,1,0,,
"USHER","Tell Me",1,1,0,1,0,,
"V.I","アイなんていらない [COME TO MY]",1,1,0,1,0,,
"Velvet Moon","Call The Shaman",1,1,0,1,0,,
"Velvet Moon","Catch the Wave",1,1,0,0,1,,
"Vera Blue","Settle",1,1,1,1,0,,
"Victor Lundberg ft. Astyn Turr","You're Sorry (Royalty Free Music)",1,1,0,1,0,,
"vowl.","feelings",1,1,0,1,0,,
"VÉRITÉ","Saint - Tigertown Remix",1,1,0,1,0,,
"Vök","Hiding",1,1,0,1,0,,
"Vök","Waterfall",1,1,1,1,0,,
"WangleLine","Yours - WangleLine Remix",1,1,0,0,0,,
"Willow Beats","Blue",1,1,0,1,0,,
"Xavier Omär","Afraid",1,1,0,1,0,,
"XG","LEFT RIGHT",1,1,0,0,0,,
"XY&O","Lights On",1,1,0,1,0,,
"Yumi Zouma","Ostra",1,1,0,1,0,,
"zalagasper","Signals",1,1,0,1,0,,
"Zero 7 & Jem Cooke","Swimmers",0,1,0,0,0,,
"Zero 7","Don't Call It Love - 12 Version",1,1,0,1,0,,
"Zero 7, Sia & Sophie Barker","Destiny",0,1,0,0,0,,
"Zola Blood","Get Light",1,1,1,1,0,,
"Ásgeir","Going Home",1,1,1,0,0,,
"陳忻玥","Treasure",1,1,0,1,1,,
